127.0.0.1 - - [22/Jan/2024:15:52:41 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:50 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:50 +0530] "GET /img/ARGOCAP.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:50 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:50 +0530] "GET /img/ARGOCAP.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:51 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:51 +0530] "GET /img/ARGOCAP.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:51 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:51 +0530] "GET /img/ARGOCAP.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:51 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:51 +0530] "GET /img/ARGOCAP.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:51 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:51 +0530] "GET /img/ARGOCAP.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:51 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:51 +0530] "GET /img/ARGOCAP.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:52 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:52 +0530] "GET /img/ARGOCAP.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:52 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:52 +0530] "GET /img/ARGOCAP.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:52 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:52 +0530] "GET /img/ARGOCAP.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:57:19 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4312
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:57:19 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4312
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:57:19 +0530] "GET /Argocap/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:57:19 +0530] "GET /img/ARGOCAP.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:57:19 +0530] "GET /Argocap/script.js HTTP/1.1" 200 4280
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:57:20 +0530] "GET /Argocap/img/ARGO.png HTTP/1.1" 200 25927
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:57:20 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4312
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:57:20 +0530] "GET /img/ARGOCAP.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:57:47 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4310
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:57:47 +0530] "GET /Argocap/img/ARGOCAP.png HTTP/1.1" 200 11035
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:57:47 +0530] "GET /Argocap/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:06:00 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4323
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:06:00 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4323
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:06:00 +0530] "GET /Argocap/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:06:00 +0530] "GET /Argocap/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:06:54 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:06:54 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:06:54 +0530] "GET /Argocap/index.jsp HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:06:56 +0530] "GET /Argocap/loginUser.html HTTP/1.1" 200 2422
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:06:56 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:07:59 +0530] "GET /Argocap/loginUser.html HTTP/1.1" 200 1463
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:08:27 +0530] "GET /Argocap/loginUser.html HTTP/1.1" 200 1479
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:17:20 +0530] "GET /Argocap/loginUser.html HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:19:16 +0530] "GET /Argocap/loginUser.html HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:20:29 +0530] "GET /Argocap/loginUser.html HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:20:29 +0530] "GET /Argocap/loginUser.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:20:47 +0530] "GET /Argocap/loginUser.html HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:20:48 +0530] "GET /Argocap/loginUser.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:20:48 +0530] "GET /Argocap/loginUser.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:20:53 +0530] "GET /Argocap/loginUser.html? HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:20:54 +0530] "GET /Argocap/loginUser.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:20:54 +0530] "GET /Argocap/loginUser.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:20:55 +0530] "GET /Argocap/loginUser.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:20:55 +0530] "GET /Argocap/loginUser.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:20:55 +0530] "GET /Argocap/loginUser.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:20:56 +0530] "GET /Argocap/loginUser.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:21:34 +0530] "GET /Argocap/loginUser.html? HTTP/1.1" 200 2329
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:21:34 +0530] "GET /img/ARGOCAP.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:22:18 +0530] "GET /Argocap/loginUser.html? HTTP/1.1" 200 2602
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:22:18 +0530] "GET /Argocap/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:22:18 +0530] "GET /img/ARGOCAP.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:23:38 +0530] "GET /Argocap/loginUser.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:23:38 +0530] "GET /img/ARGOCAP.png HTTP/1.1" 404 770
